uberon_id name
UBERON:0002473 intercerebral_commissure
UBERON:3010583 basibranchial_I
UBERON:0002478 orbitosphenoid
UBERON:0002479 dorsal_lateral_geniculate_nucleus
UBERON:0007628 lateral_septal_complex
UBERON:0007629 medial_septal_complex
UBERON:0009479 ectoderm_of_buccopharyngeal_membrane
UBERON:2001523 hypobranchial_4_cartilage
UBERON:0003593 thoracic_cavity_connective_tissue
UBERON:2000821 obsolete_primary_neuron_hindbrain
UBERON:0010888 obsolete_seta
UBERON:0010889 ectethmoid
UBERON:0010883 forelimb_cartilage_element
UBERON:0010880 gular_fold
UBERON:0010881 limb_cartilage_element
UBERON:0010886 hindlimb_pre-cartilage_condensation
UBERON:0010887 tragus
UBERON:0010884 forelimb_bone_pre-cartilage_condensation
UBERON:0010885 hindlimb_cartilage_element
UBERON:0005623 semi-lunar_valve
UBERON:2000820 presumptive_neuron_neural_tube
UBERON:0016480 interlobular_stroma_of_liver
UBERON:0007132 head_kidney
UBERON:2000293 synencephalon
UBERON:0034764 remnant_of_cardiac_valve
UBERON:0026324 obsolete_regional_part_of_transverse_temporal_cortex
UBERON:4200075 fin_spine
UBERON:0005624 suprarenal_artery
UBERON:0006209 basioccipital_cartilage_element
UBERON:0014932 periventricular_white_matter
UBERON:2000827 obsolete_fast_muscle_cell_somite_26
UBERON:3001005 dorsolateral_fold
UBERON:2000564 pelvic_abductor_profundus
UBERON:0005625 tubotympanic_recess_lumen
UBERON:0006208 auditory_hillocks
UBERON:2000826 central_nucleus_torus_semicircularis
UBERON:3010830 spicule
UBERON:0005626 ventral_mesogastrium
UBERON:0003705 Meckel's_diverticulum
UBERON:0003704 intrahepatic_bile_duct
UBERON:0003707 sinus_of_Valsalva
UBERON:0003706 laryngeal_vocal_fold
UBERON:0003701 calcaneal_tendon
UBERON:0003700 temporomandibular_joint
UBERON:0003703 extrahepatic_bile_duct
UBERON:0003702 inguinal_canal
UBERON:0016484 subgingival_dental_plaque
UBERON:0016485 supragingival_dental_plaque
UBERON:0016486 posterior_fornix_of_vagina
UBERON:0016487 anterior_fornix_of_vagina
UBERON:0003709 circle_of_Willis
UBERON:0003708 carotid_sinus
UBERON:0016482 dental_plaque
UBERON:0019328 palpebral_lobe_of_lacrimal_gland
UBERON:0009660 adrenal_vein
UBERON:0009661 midbrain_nucleus
UBERON:0009662 hindbrain_nucleus
UBERON:0009663 telencephalic_nucleus
UBERON:0009664 gut_mesentery
UBERON:0001419 skin_of_limb
UBERON:0001418 skin_of_thorax
UBERON:0001417 skin_of_neck
UBERON:0001416 skin_of_abdomen
UBERON:0001415 skin_of_pelvis
UBERON:0001414 median_cubital_vein
UBERON:0001413 brachial_vein
UBERON:0001412 common_palmar_digital_vein
UBERON:0001411 basilic_vein
UBERON:0001410 common_palmar_digital_artery
UBERON:0007844 cartilage_element
UBERON:0007845 regular_connective_tissue
UBERON:2005199 obsolete_RoL2r
UBERON:0011214 nucleus_of_midbrain_tectum
UBERON:0011215 central_nervous_system_cell_part_cluster
UBERON:0011216 organ_system_subdivision
UBERON:0011217 serratus_dorsalis_muscle
UBERON:0011210 migration_pathway_NC-derived_mesenchyme
UBERON:2000703 ventral_motor_nucleus_trigeminal_nerve
UBERON:2000638 commissura_rostral,_pars_dorsalis
UBERON:0011213 root_of_vagus_nerve
UBERON:0008397 tracheobronchial_epithelium
UBERON:0018300 upper_canine_1
UBERON:0018303 adrenal_tissue
UBERON:0018302 upper_molar_1
UBERON:0011218 spinalis_cervicis_muscle
UBERON:0011219 longissimus_lumborum_muscle
UBERON:0018307 keel
UBERON:0018306 bulge
UBERON:0018409 infra-orbital_groove
UBERON:3010593 obsolete_erythrophore
UBERON:3010464 animal_cap_inner_layer
UBERON:3010590 amphibian_cloacal_gland
UBERON:2001528 epibranchial_1_cartilage
UBERON:0006204 inguinal_ligament
UBERON:3010599 stratum_spongiosum
UBERON:2002258 trituration_tooth
UBERON:2002256 blind_side
UBERON:0008995 nucleus_of_cerebellar_nuclear_complex
UBERON:2002255 ocular_side
UBERON:2002252 epural_1
UBERON:2002253 obsolete_pyloric_caecum
UBERON:2001865 basibranchial_4_cartilage
UBERON:2002251 epural_3
UBERON:0022317 olfactory_cortex_layer_1
UBERON:0022316 primary_motor_cortex_layer_6
UBERON:0022315 primary_motor_cortex_layer_5
UBERON:0022314 superior_colliculus_stratum_zonale
UBERON:0022352 medial_orbital_frontal_cortex
UBERON:0022319 lateral_geniculate_nucleus_parvocellular_layer
UBERON:0022318 olfactory_cortex_layer_2
UBERON:0034812 stratum_oriens_of_caudal_CA3
UBERON:0006101 Brodmann_(1909)_area_24
UBERON:0023378 medullary_anterior_horn
UBERON:0014443 inferior_ischial_ramus
UBERON:0006679 carina_of_trachea
UBERON:0008858 pyloric_canal
UBERON:0010165 collection_of_hair_on_face
UBERON:0010164 collection_of_hairs
UBERON:0010167 beard
UBERON:0010166 coat_of_hair
UBERON:0010161 lumen_of_blood_vessel
UBERON:0010160 lumen_of_lymphatic_vessel
UBERON:0009918 retrotrapezoid_nucleus
UBERON:0009919 ureter_smooth_muscle
UBERON:0004164 branchiomeric_muscle
UBERON:0009917 kidney_corticomedullary_boundary
UBERON:0004166 superior_reticular_formation
UBERON:0004167 orbitofrontal_cortex
UBERON:0004161 septum_transversum
UBERON:0004162 pulmonary_myocardium
UBERON:0004163 anterior_ectodermal_midgut
UBERON:0018603 upper_central_incisor_tooth
UBERON:0024086 obsolete_cytoarchitectural_part_of_dorsal_tegmental_nucleus
UBERON:2001172 roofing_cartilage
UBERON:0008859 cardiac_gastric_gland
UBERON:3000871 fossula_tuberis_superioris
UBERON:0006677 surface_of_epithelium
UBERON:0000933 pharyngeal_muscle
UBERON:0000424 gastric_pit
UBERON:0000427 obsolete_cytotrophoblastic_cell
UBERON:0000426 extravillous_trophoblast
UBERON:0000937 obsolete_proneural_cluster
UBERON:0000936 posterior_commissure
UBERON:0000423 eccrine_sweat_gland
UBERON:0000934 ventral_nerve_cord
UBERON:0000939 imaginal_disc
UBERON:0005418 hindlimb_bud
UBERON:0000429 enteric_plexus
UBERON:0000428 prostate_epithelium
UBERON:0010300 epithelial_scleral_papilla_layer
UBERON:0010303 extraembryonic_epithelium
UBERON:0010302 amnioserosa
UBERON:0010305 region_of_conjunctiva
UBERON:0010304 non-keratinized_stratified_squamous_epithelium
UBERON:0010307 conjunctival_fornix
UBERON:0010306 bulbar_conjunctiva
UBERON:0010309 palpebral_bone
UBERON:0010308 os_opticus
