genes	predicted_functions
wdr12	uberon_0000033:227.233466983,uberon_0009124:0.0269531498315,uberon_0001944:0.0269531498315
trpc1	uberon_0000033:0.118392095828,uberon_0009124:0.00521263746742,uberon_0001944:0.00521263746742
ssr4	uberon_0000033:215.158699779,uberon_0009124:0.0144936749094,uberon_0001944:0.0144936749094
zap70	uberon_0000033:0.172000207451,uberon_0009124:0.00889962494438,uberon_0001944:0.00889962494438
phkg1a	uberon_0000033:0.880172906999,uberon_0009124:0.00292416248172,uberon_0001944:0.00292416248172
glra4a	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
wdr18	uberon_0000033:165.925376524,uberon_0009124:0.0134765749158,uberon_0001944:0.0134765749158
abce1	uberon_0000033:77.0795068336,uberon_0009124:0.00978958743882,uberon_0001944:0.00978958743882
inppl1a	uberon_0000033:7.20883861738,uberon_0009124:0.0069925624563,uberon_0001944:0.0069925624563
srrt	uberon_0000033:6.83951739508,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
sox2	uberon_0000033:3.48302733866,uberon_0009124:0.00737397495391,uberon_0001944:0.00737397495391
sox3	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
atp1b2b	uberon_0000033:1.99161359239,uberon_0009124:0.00254274998411,uberon_0001944:0.00254274998411
sox6	uberon_0000033:3.41758778348,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
elmo1	uberon_0000033:0.521266585878,uberon_0009124:0.00673828745789,uberon_0001944:0.00673828745789
alk	uberon_0000033:0.0479803818049,uberon_0009124:0.00266988748331,uberon_0001944:0.00266988748331
mmp14a	uberon_0000033:23.4294042901,uberon_0009124:0.00254274998411,uberon_0001944:0.00254274998411
s1pr2	uberon_0000033:2.16390200752,uberon_0009124:0.0227576123578,uberon_0001944:0.0227576123578
s1pr1	uberon_0000033:2.60435347255,uberon_0009124:0.0245375373466,uberon_0001944:0.0245375373466
kng1	uberon_0000033:2.61526479589,uberon_0009124:0.0424639247346,uberon_0001944:0.0424639247346
s1pr4	uberon_0000033:4.88370905129,uberon_0009124:0.0223761998601,uberon_0001944:0.0223761998601
duox	uberon_0000033:0.344415485347,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
git2a	uberon_0000033:1.59303710808,uberon_0009124:0.00279702498252,uberon_0001944:0.00279702498252
rab10	uberon_0000033:0.103529420164,uberon_0009124:0.00457694997139,uberon_0001944:0.00457694997139
rab13	uberon_0000033:0.0696907326292,uberon_0009124:0.00432267497298,uberon_0001944:0.00432267497298
ptpn6	uberon_0009124:0.0265717373339,uberon_0001944:0.0265717373339,uberon_0000033:2.89080443762e-05
inhbaa	uberon_0000033:0.316107757971,uberon_0009124:0.00190706248808,uberon_0001944:0.00190706248808
lsm8	uberon_0000033:16.1760825947,uberon_0009124:0.00572118746424,uberon_0001944:0.00572118746424
kif1b	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
hoxc9a	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
irx3b	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
ism1	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
atp13a2	uberon_0000033:0.0593753336471,uberon_0009124:0.00559404996504,uberon_0001944:0.00559404996504
oc90	uberon_0000033:0.152819274045,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
gfra3	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
phf5a	uberon_0000033:42.3681613821,uberon_0009124:0.0158921874007,uberon_0001944:0.0158921874007
enox1	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
mtmr14	uberon_0000033:8.48474276714,uberon_0009124:0.00216133748649,uberon_0001944:0.00216133748649
mtmr12	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
fas	uberon_0000033:0.0186348492911,uberon_0009124:0.00381412497616,uberon_0001944:0.00381412497616
mpl	uberon_0000033:0.141862643171,uberon_0009124:0.0048312249698,uberon_0001944:0.0048312249698
g6pd	uberon_0000033:1.91341936304,uberon_0009124:0.00635687496027,uberon_0001944:0.00635687496027
mpi	uberon_0000033:1.0715148433,uberon_0009124:0.00355984997775,uberon_0001944:0.00355984997775
rad52	uberon_0000033:1.47732458224,uberon_0009124:0.0147479499078,uberon_0001944:0.0147479499078
rad51	uberon_0000033:1.59444029298,uberon_0009124:0.0144936749094,uberon_0001944:0.0144936749094
dkc1	uberon_0000033:257.788063414,uberon_0009124:0.0189434873816,uberon_0001944:0.0189434873816
emc3	uberon_0000033:0.344415485347,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
rbm19	uberon_0000033:235.986018157,uberon_0009124:0.0156379124023,uberon_0001944:0.0156379124023
mpx	uberon_0000033:0.306147098087,uberon_0009124:0.00101709999364,uberon_0001944:0.00101709999364
slc39a7	uberon_0000033:0.507583590997,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
exoc2	uberon_0009124:0.00661114995868,uberon_0001944:0.00661114995868,uberon_0000033:8.97024784807e-05
arap3	uberon_0000033:0.409708849903,uberon_0009124:0.00966244993961,uberon_0001944:0.00966244993961
exoc5	uberon_0000033:4.71592134957,uberon_0009124:0.0047040874706,uberon_0001944:0.0047040874706
rcl1	uberon_0000033:185.901564553,uberon_0009124:0.0109338249317,uberon_0001944:0.0109338249317
myl7	uberon_0000033:0.430278505168,uberon_0009124:0.00419553747378,uberon_0001944:0.00419553747378
kif17	uberon_0000033:0.995806796196,uberon_0009124:0.00127137499205,uberon_0001944:0.00127137499205
kif11	uberon_0000033:100.0354379,uberon_0009124:0.0152564999046,uberon_0001944:0.0152564999046
ttpa	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
gdf6a	uberon_0000033:0.639683557021,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
mespaa	uberon_0000033:0.229610323565,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
eif4a1a	uberon_0000033:188.005031272,uberon_0009124:0.0221219248617,uberon_0001944:0.0221219248617
cldn7a	uberon_0000033:1.60460237747,uberon_0009124:0.00533977496663,uberon_0001944:0.00533977496663
med10	uberon_0000033:1.91832056517,uberon_0009124:0.0138579874134,uberon_0001944:0.0138579874134
loxl2b	uberon_0000033:24.1694976231,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
med12	uberon_0000033:3.01158009952,uberon_0009124:0.0122051999237,uberon_0001944:0.0122051999237
med14	uberon_0000033:1.79533604495,uberon_0009124:0.0141122624118,uberon_0001944:0.0141122624118
med15	uberon_0000033:0.416431858673,uberon_0009124:0.0124594749221,uberon_0001944:0.0124594749221
taf3	uberon_0000033:0.0411893059676,uberon_0009124:0.00406839997457,uberon_0001944:0.00406839997457
has2	uberon_0000033:0.267878710826,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
ift57	uberon_0000033:0.316107757971,uberon_0009124:0.00190706248808,uberon_0001944:0.00190706248808
adssl	uberon_0000033:0.0757285024565,uberon_0009124:0.00851821244676,uberon_0001944:0.00851821244676
meis3	uberon_0000033:0.00724251242143,uberon_0009124:0.00305129998093,uberon_0001944:0.00305129998093
msh6	uberon_0000033:0.103529420164,uberon_0009124:0.00457694997139,uberon_0001944:0.00457694997139
med19b	uberon_0000033:0.0559045478734,uberon_0009124:0.0114423749285,uberon_0001944:0.0114423749285
bcl6a	uberon_0000033:5.10543652104,uberon_0009124:0.00292416248172,uberon_0001944:0.00292416248172
mdm2	uberon_0000033:7.39405466622,uberon_0009124:0.018562074884,uberon_0001944:0.018562074884
ror2	uberon_0000033:6.26072173225,uberon_0009124:0.00572118746424,uberon_0001944:0.00572118746424
capn1a	uberon_0000033:0.420253003623,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
jam3b	uberon_0000033:0.019092592354,uberon_0009124:0.00381412497616,uberon_0001944:0.00381412497616
paics	uberon_0000033:1.65105624468,uberon_0009124:0.0048312249698,uberon_0001944:0.0048312249698
ybx1	uberon_0000033:51.3243560511,uberon_0009124:0.01919776238,uberon_0001944:0.01919776238
nedd1	uberon_0000033:9.65842518717,uberon_0009124:0.0110609624309,uberon_0001944:0.0110609624309
camk4	uberon_0000033:0.102427212476,uberon_0009124:0.0024156124849,uberon_0001944:0.0024156124849
gmppb	uberon_0000033:0.402273795643,uberon_0009124:0.00177992498888,uberon_0001944:0.00177992498888
rer1	uberon_0000033:0.344415485347,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
fzd10	uberon_0000033:9.07360510826,uberon_0009124:0.00622973746106,uberon_0001944:0.00622973746106
kdrl	uberon_0000033:12.8699830747,uberon_0009124:0.0203419998729,uberon_0001944:0.0203419998729
scn8aa	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
inpp5b	uberon_0000033:4.80633904027,uberon_0009124:0.0146208124086,uberon_0001944:0.0146208124086
desi2	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
bhlhe40	uberon_0000033:1.78101312979,uberon_0009124:0.00266988748331,uberon_0001944:0.00266988748331
sepn1	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
dio2	uberon_0000033:0.152819274045,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
stxbp1a	uberon_0000033:0.0478948514925,uberon_0009124:0.00775538745153,uberon_0001944:0.00775538745153
flncb	uberon_0000033:1.20682138693,uberon_0009124:0.00533977496663,uberon_0001944:0.00533977496663
lgals2a	uberon_0000033:1.03324645604,uberon_0009124:0.00343271247855,uberon_0001944:0.00343271247855
slc35d1a	uberon_0000033:11.1637640463,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
copz1	uberon_0000033:0.247196397344,uberon_0009124:0.00203419998729,uberon_0001944:0.00203419998729
slc16a2	uberon_0000033:0.0764096370224,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
cd164	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
igfbp3	uberon_0000033:2.84946902648,uberon_0009124:0.00584832496345,uberon_0001944:0.00584832496345
coro1a	uberon_0000033:0.0108601007666,uberon_0009124:0.00368698747696,uberon_0001944:0.00368698747696
igfbp7	uberon_0000033:0.420952259869,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
abcb4	uberon_0000033:0.019092592354,uberon_0009124:0.00381412497616,uberon_0001944:0.00381412497616
il17rd	uberon_0000033:2.58481519621,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
pofut2	uberon_0000033:0.420952259869,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
pofut1	uberon_0000033:0.267878710826,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
lrp6	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
camk1gb	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
las1l	uberon_0000033:0.267878710826,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
esr1	uberon_0001944:28.7571565748,uberon_0000033:15.2010624129,uberon_0009124:0.0325471997966
junba	uberon_0000033:5.435856234,uberon_0009124:0.0161464623991,uberon_0001944:0.0161464623991
junbb	uberon_0000033:2.23236607757,uberon_0009124:0.0157650499015,uberon_0001944:0.0157650499015
tollip	uberon_0000033:1.03324645604,uberon_0009124:0.00343271247855,uberon_0001944:0.00343271247855
thoc2	uberon_0000033:4.37801563749,uberon_0009124:0.00317843748013,uberon_0001944:0.00317843748013
kitlga	uberon_0000033:0.380780628853,uberon_0009124:0.0069925624563,uberon_0001944:0.0069925624563
eif3ea	uberon_0000033:228.747149808,uberon_0009124:0.0175449748903,uberon_0001944:0.0175449748903
cldn15lb	uberon_0000033:0.0292628836623,uberon_0009124:0.00394126247537,uberon_0001944:0.00394126247537
nono	uberon_0000033:2.00667784653,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
abrab	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
irx3a	uberon_0000033:0.229610323565,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
sema3c	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
sema3e	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
sema3d	uberon_0000033:2.58481519621,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
rasgrp4	uberon_0000033:1.60727226495,uberon_0009124:0.00533977496663,uberon_0001944:0.00533977496663
f8	uberon_0000033:0.995806796196,uberon_0009124:0.00127137499205,uberon_0001944:0.00127137499205
slc1a2b	uberon_0000033:0.612294196173,uberon_0009124:0.00203419998729,uberon_0001944:0.00203419998729
ddx18	uberon_0000033:237.175588099,uberon_0009124:0.0108066874325,uberon_0001944:0.0108066874325
ddx19	uberon_0000033:9.31111064136,uberon_0009124:0.00203419998729,uberon_0001944:0.00203419998729
gas8	uberon_0000033:24.2129136371,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
acadvl	uberon_0000033:0.182560460915,uberon_0009124:0.00508549996822,uberon_0001944:0.00508549996822
gna13b	uberon_0000033:0.103529420164,uberon_0009124:0.00457694997139,uberon_0001944:0.00457694997139
tm4sf4	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
rapgef2	uberon_0000033:0.420952259869,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
nrg1	uberon_0000033:11.063905687,uberon_0009124:0.00559404996504,uberon_0001944:0.00559404996504
qars	uberon_0000033:45.8159097688,uberon_0009124:0.00610259996186,uberon_0001944:0.00610259996186
gas6	uberon_0000033:0.995806796196,uberon_0009124:0.00127137499205,uberon_0001944:0.00127137499205
stil	uberon_0000033:1.57747715042,uberon_0009124:0.00101709999364,uberon_0001944:0.00101709999364
ryk	uberon_0000033:8.64579689741,uberon_0009124:0.0048312249698,uberon_0001944:0.0048312249698
csk	uberon_0000033:0.0890630004707,uberon_0009124:0.00839107494756,uberon_0001944:0.00839107494756
synj1	uberon_0000033:4.73723628455,uberon_0009124:0.0169092873943,uberon_0001944:0.0169092873943
cadm4	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
numbl	uberon_0000033:0.464064794143,uberon_0009124:0.00648401245947,uberon_0001944:0.00648401245947
bdh2	uberon_0000033:0.727099357956,uberon_0009124:0.0024156124849,uberon_0001944:0.0024156124849
mafba	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
anxa4	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
topbp1	uberon_0000033:16.0072916705,uberon_0009124:0.0071196999555,uberon_0001944:0.0071196999555
anxa6	uberon_0000033:1.57255075257,uberon_0009124:0.00101709999364,uberon_0001944:0.00101709999364
mecom	uberon_0000033:0.306147098087,uberon_0009124:0.00101709999364,uberon_0001944:0.00101709999364
numb	uberon_0000033:0.0955208172384,uberon_0009124:0.00826393744835,uberon_0001944:0.00826393744835
fh	uberon_0000033:0.240928083881,uberon_0009124:0.0047040874706,uberon_0001944:0.0047040874706
pitx3	uberon_0001944:653.459858983,uberon_0000033:4.73243145126,uberon_0009124:0.00305129998093
ptges	uberon_0000033:2.23635656616,uberon_0009124:0.0024156124849,uberon_0001944:0.0024156124849
slc41a1	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
lhb	uberon_0000033:0.402273795643,uberon_0009124:0.00177992498888,uberon_0001944:0.00177992498888
col2a1a	uberon_0000033:0.558091519393,uberon_0009124:0.00394126247537,uberon_0001944:0.00394126247537
pmelb	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
pmela	uberon_0000033:0.267878710826,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
col2a1b	uberon_0000033:4.45682155207,uberon_0009124:0.0048312249698,uberon_0001944:0.0048312249698
ppp1cbl	uberon_0000033:11.5193405822,uberon_0009124:0.0101709999364,uberon_0001944:0.0101709999364
rab11a	uberon_0009124:0.0100438624372,uberon_0001944:0.0100438624372,uberon_0000033:0.000109515142326
nop10	uberon_0000033:21.96266883,uberon_0009124:0.00266988748331,uberon_0001944:0.00266988748331
hnf1ba	uberon_0009124:745.10057787,uberon_0000033:7.18478619809,uberon_0001944:0.00533977496663
egf	uberon_0000033:0.520984979274,uberon_0009124:0.00928103744199,uberon_0001944:0.00928103744199
ryr1a	uberon_0000033:0.727099357956,uberon_0009124:0.0024156124849,uberon_0001944:0.0024156124849
tax1bp3	uberon_0000033:0.229228911067,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
snx13	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
v2rl1	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
ryr1b	uberon_0000033:0.688830970695,uberon_0009124:0.0022884749857,uberon_0001944:0.0022884749857
epor	uberon_0000033:0.0294648352779,uberon_0009124:0.00902676244358,uberon_0001944:0.00902676244358
asb11	uberon_0000033:0.306147098087,uberon_0009124:0.00101709999364,uberon_0001944:0.00101709999364
wrb	uberon_0000033:0.114614455534,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
hsbp1b	uberon_0000033:8.50668070103,uberon_0009124:0.00216133748649,uberon_0001944:0.00216133748649
pkn2	uberon_0000033:0.318052865577,uberon_0009124:0.00190706248808,uberon_0001944:0.00190706248808
slc17a6b	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
upf1	uberon_0000033:213.893514618,uberon_0009124:0.0184349373848,uberon_0001944:0.0184349373848
dmap1	uberon_0000033:1.78039934891,uberon_0009124:0.0047040874706,uberon_0001944:0.0047040874706
upf2	uberon_0000033:229.433412724,uberon_0009124:0.0144936749094,uberon_0001944:0.0144936749094
gtf3aa	uberon_0000033:11.5565169046,uberon_0009124:0.00546691246583,uberon_0001944:0.00546691246583
hoxb5b	uberon_0000033:0.0163133085589,uberon_0009124:0.00292416248172,uberon_0001944:0.00292416248172
aggf1	uberon_0000033:11.1421513925,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
cacnb2a	uberon_0000033:0.670104896229,uberon_0009124:0.00737397495391,uberon_0001944:0.00737397495391
tln1	uberon_0000033:0.596456877975,uberon_0009124:0.0155107749031,uberon_0001944:0.0155107749031
atp6v0cb	uberon_0000033:11.5228488497,uberon_0009124:0.00546691246583,uberon_0001944:0.00546691246583
atp6v0ca	uberon_0000033:6.86066116031,uberon_0009124:0.00546691246583,uberon_0001944:0.00546691246583
wt1b	uberon_0000033:9.43530451543,uberon_0009124:0.00610259996186,uberon_0001944:0.00610259996186
wt1a	uberon_0000033:18.5118265925,uberon_0009124:0.00788252495073,uberon_0001944:0.00788252495073
cldn15a	uberon_0000033:0.122179767458,uberon_0009124:0.0047040874706,uberon_0001944:0.0047040874706
pknox1.2	uberon_0000033:4.68588085801,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
cdk5rap3	uberon_0000033:7.95829514574,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
adarb1a	uberon_0000033:11.1637640463,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
nckap1	uberon_0000033:1.21854543437,uberon_0009124:0.0095353124404,uberon_0001944:0.0095353124404
otx5	uberon_0000033:0.141862643171,uberon_0009124:0.0048312249698,uberon_0001944:0.0048312249698
grk5	uberon_0000033:1.99161359239,uberon_0009124:0.00254274998411,uberon_0001944:0.00254274998411
nrp1b	uberon_0000033:0.307281637427,uberon_0009124:0.00724683745471,uberon_0001944:0.00724683745471
ctsba	uberon_0000033:3.54235360515,uberon_0009124:0.00190706248808,uberon_0001944:0.00190706248808
otx2	uberon_0000033:0.421697784731,uberon_0009124:0.00686542495709,uberon_0001944:0.00686542495709
impdh1a	uberon_0000033:20.4431597834,uberon_0009124:0.0132222999174,uberon_0001944:0.0132222999174
gpr161	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
ehmt2	uberon_0000033:12.1313114961,uberon_0009124:0.0133494374166,uberon_0001944:0.0133494374166
atp2a2a	uberon_0000033:4.53786726082,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
mmp23bb	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
invs	uberon_0000033:2.00091145881,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
masp1	uberon_0000033:0.535757421652,uberon_0009124:0.00177992498888,uberon_0001944:0.00177992498888
psmd13	uberon_0000033:15.4397488908,uberon_0009124:0.0225033373594,uberon_0001944:0.0225033373594
utp11l	uberon_0000033:159.161943196,uberon_0009124:0.0115695124277,uberon_0001944:0.0115695124277
smad5	uberon_0000033:31.198950401,uberon_0009124:0.0158921874007,uberon_0001944:0.0158921874007
dpysl3	uberon_0000033:0.253243657701,uberon_0009124:0.00546691246583,uberon_0001944:0.00546691246583
psmb1	uberon_0000033:16.9090030853,uberon_0009124:0.023520437353,uberon_0001944:0.023520437353
taf7	uberon_0000033:0.808979035262,uberon_0009124:0.00355984997775,uberon_0001944:0.00355984997775
taf6	uberon_0000033:5.94253214534,uberon_0009124:0.0095353124404,uberon_0001944:0.0095353124404
rarab	uberon_0001944:115.404040601,uberon_0000033:4.60464243143,uberon_0009124:0.00851821244676
add3a	uberon_0000033:0.0296876668236,uberon_0009124:0.00279702498252,uberon_0001944:0.00279702498252
taf2	uberon_0000033:1.27936711404,uberon_0009124:0.00305129998093,uberon_0001944:0.00305129998093
adipor1b	uberon_0000033:0.497489034391,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
foxe1	uberon_0000033:0.0764096370224,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
foxe3	uberon_0001944:1964.37550855,uberon_0000033:4.68588085801,uberon_0009124:0.000508549996822
taf8	uberon_0000033:0.909264739601,uberon_0009124:0.00343271247855,uberon_0001944:0.00343271247855
nkx2.2a	uberon_0000033:1.13770635926,uberon_0009124:0.00317843748013,uberon_0001944:0.00317843748013
mmp17b	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
ispd	uberon_0000033:3.41758778348,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
mmd	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
lect2l	uberon_0000033:0.229610323565,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
ift46	uberon_0000033:0.497489034391,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
msi1	uberon_0000033:4.55041920023,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
wls	uberon_0000033:4.05380141082,uberon_0009124:0.00330557497934,uberon_0001944:0.00330557497934
celsr3	uberon_0000033:2.58481519621,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
lrrc10	uberon_0000033:6.83517556696,uberon_0009124:0.00127137499205,uberon_0001944:0.00127137499205
actc1b	uberon_0000033:0.661332371471,uberon_0009124:0.0115695124277,uberon_0001944:0.0115695124277
actc1a	uberon_0000033:4.27420353972,uberon_0009124:0.00877248744517,uberon_0001944:0.00877248744517
cd63	uberon_0000033:0.245496023416,uberon_0009124:0.00203419998729,uberon_0001944:0.00203419998729
cdh1	uberon_0000033:9.20629282887,uberon_0009124:0.0211048248681,uberon_0001944:0.0211048248681
insm1a	uberon_0000033:5.92321743655,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
tmem2	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
henmt1	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
lamb2	uberon_0000033:0.281131856487,uberon_0009124:0.00457694997139,uberon_0001944:0.00457694997139
prkar1aa	uberon_0000033:1.10059729495,uberon_0009124:0.0264445998347,uberon_0001944:0.0264445998347
cps1	uberon_0000033:5.435856234,uberon_0009124:0.0161464623991,uberon_0001944:0.0161464623991
slc43a3a	uberon_0000033:24.1694976231,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
foxi3b	uberon_0000033:0.267878710826,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
foxi3a	uberon_0000033:3.41758778348,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
kdm5c	uberon_0000033:0.267878710826,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
atp6v1aa	uberon_0000033:5.44689781554,uberon_0009124:0.00610259996186,uberon_0001944:0.00610259996186
brca2	uberon_0000033:7.48731240267,uberon_0009124:0.00686542495709,uberon_0001944:0.00686542495709
stab1	uberon_0000033:0.45922064713,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
stab2	uberon_0000033:0.420952259869,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
parn	uberon_0000033:4.99154160178,uberon_0009124:0.00457694997139,uberon_0001944:0.00457694997139
tfa	uberon_0000033:10.6270608154,uberon_0009124:0.00572118746424,uberon_0001944:0.00572118746424
ncl	uberon_0000033:1.06973491831,uberon_0009124:0.00355984997775,uberon_0001944:0.00355984997775
zic2b	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
meox1	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
arsa	uberon_0000033:0.497489034391,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
pax8	uberon_0000033:0.0108601007666,uberon_0009124:0.00368698747696,uberon_0001944:0.00368698747696
dtl	uberon_0000033:44.5375561317,uberon_0009124:0.00826393744835,uberon_0001944:0.00826393744835
tcf7l2	uberon_0000033:9.89546225275,uberon_0009124:0.0146208124086,uberon_0001944:0.0146208124086
nom1	uberon_0000033:139.603153911,uberon_0009124:0.00444981247219,uberon_0001944:0.00444981247219
abcc4	uberon_0000033:4.68588085801,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
abcc5	uberon_0000033:3.41758778348,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
pde4d	uberon_0000033:2.33049392918,uberon_0009124:0.00775538745153,uberon_0001944:0.00775538745153
alcamb	uberon_0000033:0.267878710826,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
kars	uberon_0000033:39.7822094765,uberon_0009124:0.00673828745789,uberon_0001944:0.00673828745789
sirt1	uberon_0000033:37.9497755865,uberon_0009124:0.029114487318,uberon_0001944:0.029114487318
alcama	uberon_0000033:0.267878710826,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
hfe2	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
rnf111	uberon_0000033:0.636823083453,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
ebna1bp2	uberon_0000033:251.50335726,uberon_0009124:47.8017332945,uberon_0001944:0.0200877248745
nkx2.5	uberon_0000033:1.3603281922,uberon_0009124:0.00991672493802,uberon_0001944:0.00991672493802
nkx2.9	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
kat6a	uberon_0000033:15.5957856522,uberon_0009124:0.00584832496345,uberon_0001944:0.00584832496345
