genes	predicted_functions
musk	uberon_0000033:3.36878873998,uberon_0009124:0.00546691246583,uberon_0001944:0.00546691246583
sim1a	uberon_0000033:20.5185521852,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
fn1b	uberon_0000033:2.84946902648,uberon_0009124:0.00584832496345,uberon_0001944:0.00584832496345
onecut1	uberon_0009124:339.981185032,uberon_0000033:1.43083409856,uberon_0001944:0.00292416248172
mks1	uberon_0000033:11.1421513925,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
klf2b	uberon_0000033:0.0108601007666,uberon_0009124:0.00368698747696,uberon_0001944:0.00368698747696
brd3a	uberon_0000033:0.79651855404,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
klf2a	uberon_0000033:8.39726132857,uberon_0009124:0.00648401245947,uberon_0001944:0.00648401245947
ndrg4	uberon_0000033:4.68588085801,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
hsp70l	uberon_0000033:16.0605686315,uberon_0009124:0.0221219248617,uberon_0001944:0.0221219248617
mb	uberon_0000033:0.344415485347,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
tbx20	uberon_0000033:1.57255075257,uberon_0009124:0.00101709999364,uberon_0001944:0.00101709999364
eif3ba	uberon_0000033:290.788408715,uberon_0009124:0.0216133748649,uberon_0001944:0.0216133748649
cdc14b	uberon_0000033:0.243954562336,uberon_0009124:0.00750111245312,uberon_0001944:0.00750111245312
rargb	uberon_0001944:115.404040601,uberon_0000033:4.60464243143,uberon_0009124:0.00851821244676
snapc3	uberon_0000033:2.57399661494,uberon_0009124:0.00406839997457,uberon_0001944:0.00406839997457
foxj1b	uberon_0000033:22.2843027849,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
stxbp3	uberon_0000033:0.121002847581,uberon_0009124:0.0047040874706,uberon_0001944:0.0047040874706
snapc4	uberon_0001944:124.870785751,uberon_0000033:24.519783939,uberon_0009124:0.00788252495073
bcl11aa	uberon_0000033:0.152819274045,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
bcl11ab	uberon_0000033:0.0764096370224,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
aldh1a2	uberon_0001944:165.357039292,uberon_0000033:2.70616564233,uberon_0009124:0.00597546246265
aldh1a3	uberon_0001944:141.016083472,uberon_0009124:0.0069925624563,uberon_0000033:0.005214334682
