function	number_of_genes	ROC_auc	PR_auc	name
uberon_0008911	91	0.708395386	0.155371666	chondral_bone
uberon_0002370	19	0.588945796	0.045150314	thymus
uberon_0011004	31	0.525743146	0.009667719	pharyngeal_arch_cartilage
uberon_0001771	11	0.482993197	0.001272265	pupil
uberon_0004121	108	0.493287262	0.04137501	ectoderm-derived_structure
uberon_0003107	163	0.654251278	0.118265802	meckel's_cartilage
uberon_0001675	13	0.457623509	0.002120441	trigeminal_ganglion
uberon_0000926	52	0.668240494	0.105873312	mesoderm
uberon_0004185	107	0.662316707	0.056582809	endodermal_part_of_digestive_tract
uberon_3000977	10	0.477021277	0.001696353	body_external_integument_structure
uberon_0003473	61	0.714651921	0.067971238	thoracic_cavity_artery
uberon_0007298	20	0.691836571	0.101347341	pronephric_proximal_convoluted_tubule
uberon_0003714	66	0.659684507	0.050660863	neural_tissue
uberon_0001074	15	0.503001476	0.005938235	pericardial_cavity
uberon_0003097	22	0.591929525	0.075799013	dorsal_fin
uberon_0003524	137	0.622543796	0.078299723	tail_blood_vessel
uberon_0004152	16	0.496971072	0.009992246	bulbus_arteriosus
uberon_0006183	10	0.488312792	0.001060221	mesonephric_glomerular_capillary
uberon_0003278	94	0.52554572	0.027307625	skeleton_of_lower_jaw
uberon_0001083	11	0.469162059	0.001484309	myocardium_of_ventricle
uberon_0002533	39	0.797613929	0.173542852	post-anal_tail_bud
uberon_0002531	20	0.766364393	0.069266439	paired_fin_bud
uberon_0002028	211	0.66570162	0.123567798	hindbrain
uberon_0002538	14	0.481512962	0.001060221	hatching_gland
uberon_0002539	42	0.614864777	0.024435906	pharyngeal_arch
uberon_0005419	17	0.777897831	0.059681875	pectoral_appendage_bud
uberon_0005310	41	0.542925236	0.016695014	pronephric_nephron_tubule
uberon_0005256	12	0.750042589	0.02245667	trunk_mesenchyme
uberon_0001785	52	0.717318496	0.075284786	cranial_nerve
uberon_0009635	13	0.618507185	0.151119298	parachordal_cartilage
uberon_0010321	10	0.689820727	0.023362235	skeletal_element_of_eye_region
uberon_0010323	88	0.648090523	0.04184611	cranial_skeletal_system
uberon_0003098	13	0.590416726	0.024188377	optic_stalk
uberon_0003099	14	0.572657581	0.01600806	cranial_neural_crest
uberon_0002328	282	0.643307628	0.22714504	notochord
uberon_0004479	61	0.774403742	0.145435121	musculature_of_trunk
uberon_0003406	98	0.662064535	0.070230825	cartilage_of_respiratory_system
uberon_0002120	142	0.688504438	0.281108577	pronephros
uberon_0004573	61	0.706206466	0.067137331	systemic_artery
uberon_0015178	57	0.699002665	0.108723691	somite_border
uberon_0002437	23	0.731493352	0.029647929	cerebral_hemisphere_white_matter
uberon_2001232	29	0.491709184	0.001272265	pharyngeal_arch_5_skeleton
uberon_0003102	435	0.534553469	0.081871758	surface_structure
uberon_0004740	15	0.475074563	0.002332485	basibranchial_bone
uberon_0006553	50	0.656487294	0.067624504	renal_duct
uberon_4000163	28	0.589252959	0.049567511	anal_fin
uberon_2001231	30	0.473840919	0.001484309	pharyngeal_arch_4_skeleton
uberon_0007812	685	0.597765662	0.269845224	post-anal_tail
uberon_0004376	14	0.656128108	0.019176234	fin_bone
uberon_0004375	15	0.638141983	0.01812051	bone_of_free_limb_or_fin
uberon_0005177	67	0.545814524	0.014502395	trunk_region_element
uberon_0012438	61	0.476635514	0.000848176	blastema_of_regenerating_fin/limb
uberon_0004733	27	0.736164667	0.046220085	segmental_subdivision_of_hindbrain
uberon_2000088	17	0.460341151	0.002756573	ysl
uberon_0000935	23	0.731493352	0.029647929	anterior_commissure
uberon_0001703	34	0.414470639	0.007113015	neurocranium
uberon_0004291	18	0.626491947	0.031587525	heart_rudiment
uberon_2000084	255	0.715413056	0.276829096	yolk
uberon_0000933	12	0.706963373	0.034532741	pharyngeal_muscle
uberon_0004363	13	0.456540264	0.002332485	pharyngeal_arch_artery
uberon_0004750	11	0.478316327	0.001272265	blastoderm
uberon_0004752	77	0.592660036	0.053601957	palatoquadrate_cartilage
uberon_0001630	117	0.629724513	0.065368078	muscle_organ
uberon_0001631	40	0.750161221	0.05672191	thoracic_duct
uberon_2000597	25	0.723128743	0.031874217	telencephalic_tracts
uberon_0002407	678	0.610307698	0.333548995	pericardium
uberon_0004490	11	0.6325822	0.01356685	cardiac_muscle_tissue_of_atrium
uberon_2001516	84	0.638672884	0.064627975	ceratobranchial_cartilage
uberon_0001021	14	0.983910288	0.136191753	nerve
uberon_0003061	31	0.642726494	0.025463422	blood_island
uberon_0003060	50	0.619170441	0.072094588	pronephric_duct
uberon_0010314	284	0.565915779	0.076364965	structure_with_developmental_contribution_from_neural_crest
uberon_0001894	38	0.474024765	0.008399382	diencephalon
uberon_0011150	11	0.511666768	0.003296556	pharyngeal_arch_derived_gill
uberon_2001157	18	0.681248224	0.015140116	posterior_lateral_line_primordium
uberon_0004536	40	0.724535679	0.054351253	lymph_vasculature
uberon_0004537	19	0.526552272	0.006316592	blood_vasculature
uberon_0001787	38	0.677753965	0.056994824	photoreceptor_layer_of_retina
uberon_0002065	34	0.63776421	0.046122082	posterior_cardinal_vein
uberon_0005325	64	0.62131431	0.059077028	mesonephric_glomerulus
uberon_0012275	341	0.611884149	0.180528004	meso-epithelium
uberon_0001015	19	0.491295117	0.000636132	musculature
uberon_0005281	147	0.599229952	0.063154769	ventricular_system_of_central_nervous_system
uberon_0002062	10	0.464027246	0.001908397	endocardial_cushion
uberon_0002063	18	0.608361775	0.062178852	sinus_venosus
uberon_0002107	350	0.691952167	0.296729049	liver
uberon_0002100	481	0.605145406	0.248951879	trunk
uberon_0000467	182	0.688345701	0.084296317	anatomical_system
uberon_0000464	51	0.511967284	0.017036499	anatomical_space
uberon_0000468	1663	0.569586908	0.478567074	multicellular_organism
uberon_2000676	12	0.494477485	0.000848176	sagitta
uberon_0002081	104	0.571765395	0.076931901	cardiac_atrium
uberon_0002087	21	0.661281001	0.068583879	atrioventricular_canal
uberon_0002082	154	0.623783179	0.12146591	cardiac_ventricle
uberon_0000061	105	0.590780218	0.076393057	anatomical_structure
uberon_0006860	134	0.581103197	0.05974832	swim_bladder
uberon_0008904	55	0.487084047	0.011352596	neuromast
uberon_0001708	213	0.641037083	0.094491631	jaw_skeleton
uberon_0003496	28	0.565349003	0.029807246	head_blood_vessel
uberon_0007844	15	0.441865417	0.002120441	cartilage_element
uberon_2001230	28	0.491925202	0.001060221	pharyngeal_arch_6_skeleton
uberon_2001239	13	0.650319829	0.091503273	ceratobranchial_5_bone
uberon_0002465	19	0.496181587	0.000212044	lymphoid_system
uberon_0000966	209	0.63747584	0.10885689	retina
uberon_0000965	126	0.66018105	0.070054839	lens_of_camera-type_eye
uberon_0000964	10	0.64202261	0.097094151	cornea
uberon_0004141	131	0.72293846	0.165573374	heart_tube
uberon_0007215	24	0.752694611	0.096775282	trabecula_cranii
uberon_2001073	51	0.733268097	0.072843486	axial_vasculature
uberon_0004880	10	0.681282815	0.01789109	chordamesoderm
uberon_0000152	12	0.492984694	0.001272265	pelvic_fin
uberon_0005911	39	0.666003869	0.034104463	endo-epithelium
uberon_0005362	11	0.690959445	0.035501566	vagus_x_ganglion
uberon_0001774	61	0.774403742	0.145435121	skeletal_muscle_of_trunk
uberon_0001017	269	0.801989166	0.328770791	central_nervous_system
uberon_0003084	12	0.575398515	0.009435859	heart_primordium
uberon_0003081	20	0.577991567	0.046381426	lateral_plate_mesoderm
uberon_0003082	67	0.678125577	0.128901245	myotome
uberon_0003088	25	0.642384812	0.058012164	caudal_vein
uberon_2001286	53	0.560887619	0.044092291	caudal_vein_plexus
uberon_0003351	25	0.55294397	0.012784416	pharyngeal_epithelium
uberon_0005886	216	0.697235765	0.09257369	post-hyoid_pharyngeal_arch_skeleton
uberon_0003922	14	0.683290708	0.063745264	pancreatic_epithelial_bud
uberon_0003921	10	0.770591993	0.037750313	pancreas_primordium
uberon_0003926	26	0.61349512	0.089171124	photoreceptor_outer_segment_layer
uberon_0001846	158	0.559172078	0.059199346	internal_ear
uberon_0003936	29	0.778216888	0.087150239	postoptic_commissure
uberon_0002037	71	0.664921733	0.065644059	cerebellum
uberon_0000080	28	0.715976166	0.182825802	mesonephros
uberon_0002133	23	0.638540594	0.021184729	atrioventricular_valve
uberon_0034969	23	0.638712	0.084856308	epithelial_layer_of_duct
uberon_0004362	23	0.634401709	0.033457455	pharyngeal_arch_1
uberon_2000694	16	0.684593917	0.067882488	ceratobranchial_5_tooth
uberon_0000033	929	0.66763692	0.469206265	head
uberon_2000098	27	0.588778206	0.014665407	proliferative_region
uberon_0018649	11	0.469162059	0.001484309	cardiac_muscle_tissue_of_ventricle
uberon_0000925	21	0.659346182	0.020870408	endoderm
uberon_0011648	14	0.709791701	0.030824741	jaw_muscle
uberon_2001463	37	0.558081424	0.035733124	melanophore_stripe
uberon_0004745	10	0.689820727	0.023362235	parasphenoid
uberon_0005330	68	0.674698172	0.077483127	mesonephric_nephron_epithelium
uberon_0003513	126	0.627460762	0.078827437	trunk_blood_vessel
uberon_0001782	99	0.720525716	0.181202935	pigmented_layer_of_retina
uberon_0011242	73	0.63452381	0.082505437	ethmoid_cartilage
uberon_4000164	178	0.538488803	0.073020131	caudal_fin
uberon_0003103	292	0.645450106	0.177899665	compound_organ
uberon_0000083	99	0.674547504	0.1777484	mesonephric_tubule
uberon_0000957	110	0.631478561	0.113979469	lamina
uberon_0001016	500	0.748234363	0.314944804	nervous_system
uberon_0005598	389	0.634828768	0.261613857	trunk_somite
uberon_0001891	102	0.619172621	0.051397634	midbrain
uberon_0013765	173	0.630732504	0.065703336	digestive_system_element
uberon_0003079	33	0.90727156	0.132694193	floor_plate
uberon_0003075	29	0.624080583	0.076353853	neural_plate
uberon_0002457	18	0.834321683	0.129220081	intersomitic_artery
uberon_0003066	22	0.566085383	0.015576725	pharyngeal_arch_2
uberon_0003072	13	0.610839012	0.016287058	optic_cup
