zfin_id	gene_name	ensemble_id	uberon_annotations
zdb-gene-070117-345	unm_m177	not_found	uberon_0007812,uberon_0000468
zdb-gene-070117-2336	sat	not_found	uberon_0002240,uberon_0001898,uberon_2000318,uberon_0002309,uberon_0008823,uberon_0001890,uberon_0000480,uberon_2000084,uberon_0001897,uberon_0005281,uberon_0002028,uberon_0014649,uberon_0034763,uberon_0010312,uberon_2000106,uberon_0001016
zdb-gene-070117-2337	sbd	not_found	uberon_0001708,uberon_0000477,uberon_0008823,uberon_0002028,uberon_0000480,uberon_0005886,uberon_0000468,uberon_0004119,uberon_0001016
zdb-gene-070117-2334	sam	not_found	uberon_0007812,uberon_0002328,uberon_0005598,uberon_0000468,uberon_0012275
zdb-gene-070117-2335	sch	not_found	uberon_0007812,uberon_0000479,uberon_0000468,uberon_0002328
zdb-gene-070117-2330	slt	not_found	uberon_0007812,uberon_0000468
zdb-gene-070117-2331	stb	not_found	uberon_0007812,uberon_0000073,uberon_0003079,uberon_0000468
zdb-gene-070117-2338	sla	not_found	uberon_0005598,uberon_0012275,uberon_0000468,uberon_0002328
zdb-gene-070117-2339	bid	not_found	uberon_0002028,uberon_0001891,uberon_0000480,uberon_0008823,uberon_0001016
zdb-gene-070117-1041	unm_t30877	not_found	uberon_0004141,uberon_0000489
zdb-gene-061013-502	zfyve27	ensdarg00000059835	uberon_0000033,uberon_0010314,uberon_0003102,uberon_2000106,uberon_4000164
zdb-gene-041114-7	opa1	ensdarg00000070801	uberon_0003052,uberon_0000042,uberon_0000019,uberon_0002407,uberon_0002616,uberon_2000084,uberon_0006800,uberon_0000948,uberon_0003102,uberon_0000151,uberon_0000468,uberon_0002422,uberon_0000489
zdb-gene-030131-3671	adgrg1	ensdarg00000105643	uberon_0002240
zdb-gene-030131-4801	pagr1	ensdarg00000076966	uberon_0007812,uberon_0005281,uberon_0000480,uberon_0008823
zdb-gene-040426-2896	adipor1b	ensdarg00000042717	uberon_0003926,uberon_0000480,uberon_0000468,uberon_0004121,uberon_0001789,uberon_0000957
zdb-gene-040426-2236	dhdds	ensdarg00000039851	uberon_0000489,uberon_0000019
zdb-gene-060825-351	spi1a	ensdarg00000067797	uberon_0003061,uberon_0005291,uberon_2000084,uberon_0004120
zdb-gene-070117-629	unm_m142	not_found	uberon_0010313,uberon_0000151,uberon_0003102,uberon_0004120
zdb-gene-070117-628	unm_tm70f	not_found	uberon_0005886,uberon_0010313,uberon_0000480,uberon_0000477,uberon_0004119
